filepath,filename,genre
./data/music\blues\blues.00000.wav,blues.00000.wav,blues
./data/music\blues\blues.00001.wav,blues.00001.wav,blues
./data/music\blues\blues.00002.wav,blues.00002.wav,blues
./data/music\blues\blues.00003.wav,blues.00003.wav,blues
./data/music\blues\blues.00004.wav,blues.00004.wav,blues
./data/music\blues\blues.00005.wav,blues.00005.wav,blues
./data/music\blues\blues.00006.wav,blues.00006.wav,blues
./data/music\blues\blues.00007.wav,blues.00007.wav,blues
./data/music\blues\blues.00008.wav,blues.00008.wav,blues
./data/music\blues\blues.00009.wav,blues.00009.wav,blues
./data/music\blues\blues.00010.wav,blues.00010.wav,blues
./data/music\blues\blues.00011.wav,blues.00011.wav,blues
./data/music\blues\blues.00012.wav,blues.00012.wav,blues
./data/music\blues\blues.00013.wav,blues.00013.wav,blues
./data/music\blues\blues.00014.wav,blues.00014.wav,blues
./data/music\blues\blues.00015.wav,blues.00015.wav,blues
./data/music\blues\blues.00016.wav,blues.00016.wav,blues
./data/music\blues\blues.00017.wav,blues.00017.wav,blues
./data/music\blues\blues.00018.wav,blues.00018.wav,blues
./data/music\blues\blues.00019.wav,blues.00019.wav,blues
./data/music\blues\blues.00020.wav,blues.00020.wav,blues
./data/music\blues\blues.00021.wav,blues.00021.wav,blues
./data/music\blues\blues.00022.wav,blues.00022.wav,blues
./data/music\blues\blues.00023.wav,blues.00023.wav,blues
./data/music\blues\blues.00024.wav,blues.00024.wav,blues
./data/music\blues\blues.00025.wav,blues.00025.wav,blues
./data/music\blues\blues.00026.wav,blues.00026.wav,blues
./data/music\blues\blues.00027.wav,blues.00027.wav,blues
./data/music\blues\blues.00028.wav,blues.00028.wav,blues
./data/music\blues\blues.00029.wav,blues.00029.wav,blues
./data/music\blues\blues.00030.wav,blues.00030.wav,blues
./data/music\blues\blues.00031.wav,blues.00031.wav,blues
./data/music\blues\blues.00032.wav,blues.00032.wav,blues
./data/music\blues\blues.00033.wav,blues.00033.wav,blues
./data/music\blues\blues.00034.wav,blues.00034.wav,blues
./data/music\blues\blues.00035.wav,blues.00035.wav,blues
./data/music\blues\blues.00036.wav,blues.00036.wav,blues
./data/music\blues\blues.00037.wav,blues.00037.wav,blues
./data/music\blues\blues.00038.wav,blues.00038.wav,blues
./data/music\blues\blues.00039.wav,blues.00039.wav,blues
./data/music\blues\blues.00040.wav,blues.00040.wav,blues
./data/music\blues\blues.00041.wav,blues.00041.wav,blues
./data/music\blues\blues.00042.wav,blues.00042.wav,blues
./data/music\blues\blues.00043.wav,blues.00043.wav,blues
./data/music\blues\blues.00044.wav,blues.00044.wav,blues
./data/music\blues\blues.00045.wav,blues.00045.wav,blues
./data/music\blues\blues.00046.wav,blues.00046.wav,blues
./data/music\blues\blues.00047.wav,blues.00047.wav,blues
./data/music\blues\blues.00048.wav,blues.00048.wav,blues
./data/music\blues\blues.00049.wav,blues.00049.wav,blues
./data/music\blues\blues.00050.wav,blues.00050.wav,blues
./data/music\blues\blues.00051.wav,blues.00051.wav,blues
./data/music\blues\blues.00052.wav,blues.00052.wav,blues
./data/music\blues\blues.00053.wav,blues.00053.wav,blues
./data/music\blues\blues.00054.wav,blues.00054.wav,blues
./data/music\blues\blues.00055.wav,blues.00055.wav,blues
./data/music\blues\blues.00056.wav,blues.00056.wav,blues
./data/music\blues\blues.00057.wav,blues.00057.wav,blues
./data/music\blues\blues.00058.wav,blues.00058.wav,blues
./data/music\blues\blues.00059.wav,blues.00059.wav,blues
./data/music\blues\blues.00060.wav,blues.00060.wav,blues
./data/music\blues\blues.00061.wav,blues.00061.wav,blues
./data/music\blues\blues.00062.wav,blues.00062.wav,blues
./data/music\blues\blues.00063.wav,blues.00063.wav,blues
./data/music\blues\blues.00064.wav,blues.00064.wav,blues
./data/music\blues\blues.00065.wav,blues.00065.wav,blues
./data/music\blues\blues.00066.wav,blues.00066.wav,blues
./data/music\blues\blues.00067.wav,blues.00067.wav,blues
./data/music\blues\blues.00068.wav,blues.00068.wav,blues
./data/music\blues\blues.00069.wav,blues.00069.wav,blues
./data/music\blues\blues.00070.wav,blues.00070.wav,blues
./data/music\blues\blues.00071.wav,blues.00071.wav,blues
./data/music\blues\blues.00072.wav,blues.00072.wav,blues
./data/music\blues\blues.00073.wav,blues.00073.wav,blues
./data/music\blues\blues.00074.wav,blues.00074.wav,blues
./data/music\blues\blues.00075.wav,blues.00075.wav,blues
./data/music\blues\blues.00076.wav,blues.00076.wav,blues
./data/music\blues\blues.00077.wav,blues.00077.wav,blues
./data/music\blues\blues.00078.wav,blues.00078.wav,blues
./data/music\blues\blues.00079.wav,blues.00079.wav,blues
./data/music\blues\blues.00080.wav,blues.00080.wav,blues
./data/music\blues\blues.00081.wav,blues.00081.wav,blues
./data/music\blues\blues.00082.wav,blues.00082.wav,blues
./data/music\blues\blues.00083.wav,blues.00083.wav,blues
./data/music\blues\blues.00084.wav,blues.00084.wav,blues
./data/music\blues\blues.00085.wav,blues.00085.wav,blues
./data/music\blues\blues.00086.wav,blues.00086.wav,blues
./data/music\blues\blues.00087.wav,blues.00087.wav,blues
./data/music\blues\blues.00088.wav,blues.00088.wav,blues
./data/music\blues\blues.00089.wav,blues.00089.wav,blues
./data/music\blues\blues.00090.wav,blues.00090.wav,blues
