filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,genre
blues.00000.wav,-113.619385,121.55302,-19.151058,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.665802,blues
blues.00001.wav,-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833,blues
blues.00002.wav,-90.77634,140.44861,-29.10056,31.68734,-13.975973,25.741686,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857637,-8.899733,blues
blues.00003.wav,-199.462,150.09473,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.0853534,-2.4761882,blues
blues.00004.wav,-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862023,-23.357162,0.5005233,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,blues
blues.00005.wav,-177.88876,118.18953,-17.550728,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401843,-11.773799,-2.426076,-9.342486,blues
blues.00006.wav,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711603,-6.5008707,-5.5156236,-7.8452897,-3.123599,-6.595716,blues
blues.00007.wav,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956976,-3.548349,blues
blues.00008.wav,-121.387115,122.505394,-14.739392,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739909,blues
blues.00009.wav,-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101025,4.283337,-6.044196,3.786368,0.22368734,blues
blues.00010.wav,-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.214374,-12.582618,5.8545594,-2.884673,-1.1866812,-1.9771541,1.8001548,-3.0044115,blues
blues.00011.wav,-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827978,6.5667357,-4.87944,-3.1806588,-5.5570035,blues
blues.00012.wav,-207.20874,132.79709,-15.460706,60.99486,0.7102412,12.461279,1.1609277,-1.5278946,-17.901815,8.369234,-2.4538186,-0.59668875,0.36881652,blues
blues.00013.wav,-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.2020378,-3.051727,blues
blues.00014.wav,-305.69858,113.04164,12.114901,45.039444,17.739239,14.59463,4.157129,0.24009785,-7.013088,13.649843,8.923058,1.3016899,5.9521284,blues
blues.00015.wav,-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037088,-16.92988,12.33931,3.9409604,-1.3906769,0.01479212,blues
blues.00016.wav,-233.79489,120.66705,-3.1675608,39.53927,3.858855,18.839672,-3.6889172,4.4318447,-14.975374,17.571033,1.8447447,2.5386066,-1.2386856,blues
blues.00017.wav,-245.75414,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.53618747,-16.367361,6.6298547,7.269149,-4.015731,1.6074536,blues
blues.00018.wav,-252.51877,104.93698,15.316828,42.673477,6.7626176,21.623577,-1.313277,5.691933,-16.619516,12.161626,-1.96795,1.9697651,-0.88895845,blues
blues.00019.wav,-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.3539615,0.7883455,1.7829303,blues
blues.00020.wav,-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,blues
blues.00021.wav,-264.67847,138.85834,11.156023,48.538254,14.895925,20.584368,3.2051423,1.262588,-15.847021,15.986576,3.3616717,-1.5137411,1.8921548,blues
blues.00022.wav,-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.3548675,0.39087027,-13.504575,16.856106,5.130938,-2.23188,3.9640331,blues
blues.00023.wav,-227.26886,137.7307,-14.493466,63.555702,5.612641,11.984639,1.8855519,-1.8633765,-7.6205554,-2.4471743,-2.8867247,-9.429529,-10.923913,blues
blues.00024.wav,-274.31186,130.41371,-6.3928003,70.405014,13.269141,9.461284,7.7256403,-1.247491,-0.57758856,-2.3025882,3.783147,0.08482337,-0.939436,blues
blues.00025.wav,-249.2894,130.98703,0.67739,66.68578,17.897806,4.623737,6.5983076,1.24905,1.4163893,-1.579142,-0.96266294,-3.5719957,-2.9279816,blues
blues.00026.wav,-284.69736,108.8052,9.088283,51.22274,18.091755,7.612261,8.779499,2.362829,0.005786246,2.250966,4.205099,-3.2933176,1.6082981,blues
blues.00027.wav,-228.25066,130.3444,-23.29129,70.1721,1.142271,7.6024485,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628405,-4.5228944,-0.26295036,blues
blues.00028.wav,-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.3312792,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.9021665,blues
blues.00029.wav,-233.75082,101.178276,17.649767,23.733776,2.082033,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,blues
blues.00030.wav,-206.96808,117.792984,23.23588,28.297827,-1.1239152,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607277,blues
blues.00031.wav,-221.83113,110.83949,18.616821,30.920137,3.2959225,22.587362,-20.416351,12.118738,-26.350498,-4.3674846,-26.413198,-13.045098,-12.654766,blues
blues.00032.wav,-288.8077,105.89604,18.777039,23.710392,5.7118816,25.549088,-13.47376,12.428973,-11.942034,1.5714257,-15.63591,-6.6506157,-11.713253,blues
blues.00033.wav,-239.03807,108.65722,34.15189,30.23917,-0.47574335,27.292637,-21.379398,14.150509,-24.510178,-1.8840461,-28.050291,-11.256651,-16.47693,blues
blues.00034.wav,-217.23868,105.792366,15.617069,25.256382,-1.4402742,30.18982,-17.71522,17.318172,-27.209526,4.339167,-20.059492,-10.695945,-14.220667,blues
blues.00035.wav,-171.8102,120.280624,15.327537,21.09045,-5.4192963,24.189465,-24.138222,18.551981,-22.348904,1.3031775,-20.763931,-4.9888525,-17.118925,blues
blues.00036.wav,-200.19609,116.34013,18.00621,25.31356,0.29173443,24.192478,-22.255909,11.186425,-26.848732,-7.6384597,-24.889929,-12.015525,-17.017956,blues
blues.00037.wav,-328.68088,102.71113,19.895552,26.732681,7.151481,22.704802,-6.9743266,12.781994,-10.7257805,-0.43366084,-12.373165,-8.907054,-9.2401085,blues
blues.00038.wav,-192.69382,111.18816,21.37331,26.392143,-0.6483754,23.48088,-25.470797,16.924429,-16.979984,5.79015,-25.725246,-5.045352,-17.632244,blues
blues.00039.wav,-301.70715,111.53472,21.896408,16.14818,8.19624,22.085075,-8.614954,1.4815575,-17.084373,-8.345809,-17.013063,-10.57562,-15.689096,blues
blues.00040.wav,-110.284325,90.705605,-2.528311,74.052734,-11.74677,39.214577,-13.1743,20.531588,-17.167608,12.827254,-21.434446,5.952132,-8.032605,blues
blues.00041.wav,-107.18975,88.47057,-4.1777873,55.48549,-8.01038,38.416542,-6.402575,28.576523,-19.820787,13.252739,-19.239792,12.076225,-4.583088,blues
blues.00042.wav,-159.56772,69.78482,-4.3918796,76.85114,3.9159086,45.167534,-4.867353,32.200516,-9.796341,7.8125114,-21.826967,9.68244,-2.5915892,blues
blues.00043.wav,-109.195,100.62705,-8.620549,47.36422,-6.559237,39.620792,-8.523994,29.564737,-16.583515,13.170685,-24.20932,6.5919027,-8.641899,blues
